pricelog,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,Distance_km,accommodation_type_1,accommodation_type_2,entire_home_apt,private_room,accommodates,bathrooms,bedrooms,Real_bed,Wireless_Internet,Breakfast,Free_Parking,instant_bookable,cancellation_policy,Smoking_Allowed,require_guest_profile_picture,require_guest_phone_verification,Reviews_per_years,review_scores_rating
4.007333185232471,0.0,1.0,1.0,0.0,2.43,1,0,1,0,2,1.0,0.0,0,1,0,0,0,1,0,0,0,47.45697897,92.0
4.442651256490317,0.0,2.0,1.0,1.0,3.01,1,0,1,0,6,1.5,2.0,0,1,0,0,1,0,0,0,0,50.87878788,81.0
4.499809670330265,0.0,1.0,1.0,1.0,1.7,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,0,0,0,25.69174757,85.0
4.0943445622221,0.0,1.0,1.0,1.0,2.69,1,0,1,0,4,1.0,1.0,1,1,0,0,1,1,0,0,0,0.699233716,80.0
4.174387269895637,0.0,1.0,1.0,0.0,2.29,1,0,1,0,2,1.0,0.0,0,1,0,0,0,1,0,0,0,6.436969301,95.0
3.8066624897703196,0.0,1.0,1.0,1.0,2.91,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,0,0,0,4.605678233,80.0
3.912023005428146,0.0,1.0,1.0,0.0,3.34,1,0,1,0,2,1.0,0.0,1,1,0,0,0,1,0,0,0,1.155063291,100.0
4.941642422609304,1.0,2.0,1.0,1.0,3.22,1,0,1,0,6,1.0,2.0,1,1,0,0,0,1,0,0,0,0.866983373,100.0
4.31748811353631,0.0,1.0,1.0,0.0,0.85,1,0,1,0,2,1.0,1.0,1,0,1,0,0,0,0,0,0,7.156862745,100.0
4.382026634673881,0.0,1.0,1.0,0.0,1.37,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,0,0,0,6.117318436,100.0
5.0106352940962555,0.0,48.0,1.0,1.0,0.11,1,0,1,0,4,1.0,1.0,1,1,0,0,1,1,0,0,0,5.162659123,96.0
3.7612001156935624,0.0,1.0,1.0,0.0,1.45,1,0,0,1,2,1.0,1.0,1,1,0,0,0,0,1,0,0,6.02310231,93.0
4.174387269895637,0.0,1.0,1.0,1.0,2.39,1,0,1,0,4,1.0,1.0,1,1,0,0,1,1,0,0,0,10.86484312,85.0
